Country,IUCN,Value
Australia,CRITICAL,294.0
Australia,ENDANGERED,738.0
Australia,TOT_KNOWN,157043.0
Australia,VULNERABLE,815.0
Austria,CRITICAL,599.0
Austria,ENDANGERED,934.0
Austria,TOT_KNOWN,51826.0
Austria,VULNERABLE,1293.0
Belgium,CRITICAL,421.0
Belgium,ENDANGERED,338.0
Belgium,TOT_KNOWN,9010.0
Belgium,VULNERABLE,371.0
Brazil,CRITICAL,453.0
Brazil,ENDANGERED,532.0
Brazil,TOT_KNOWN,877.0
Brazil,VULNERABLE,596.0
Canada,CRITICAL,727.0
Canada,ENDANGERED,841.0
Canada,TOT_KNOWN,31092.0
Canada,VULNERABLE,1640.0
Chile,CRITICAL,135.0
Chile,ENDANGERED,391.0
Chile,TOT_KNOWN,24055.0
Chile,VULNERABLE,284.0
Colombia,CRITICAL,241.0
Colombia,ENDANGERED,524.0
Colombia,TOT_KNOWN,51482.0
Colombia,VULNERABLE,802.0
Costa Rica,CRITICAL,36.0
Costa Rica,ENDANGERED,111.0
Costa Rica,TOT_KNOWN,4959.0
Costa Rica,VULNERABLE,212.0
Czech Republic,CRITICAL,1581.0
Czech Republic,ENDANGERED,1905.0
Czech Republic,TOT_KNOWN,37855.0
Czech Republic,VULNERABLE,1962.0
Denmark,CRITICAL,257.0
Denmark,ENDANGERED,367.0
Denmark,TOT_KNOWN,9270.0
Denmark,VULNERABLE,528.0
Estonia,CRITICAL,190.0
Estonia,ENDANGERED,246.0
Estonia,TOT_KNOWN,13514.0
Estonia,VULNERABLE,352.0
Finland,CRITICAL,272.0
Finland,ENDANGERED,676.0
Finland,TOT_KNOWN,28080.0
Finland,VULNERABLE,1063.0
France,CRITICAL,102.0
France,ENDANGERED,219.0
France,TOT_KNOWN,6962.0
France,VULNERABLE,512.0
Germany,CRITICAL,1218.0
Germany,ENDANGERED,1738.0
Germany,TOT_KNOWN,19130.0
Germany,VULNERABLE,3914.0
Greece,CRITICAL,74.0
Greece,ENDANGERED,130.0
Greece,TOT_KNOWN,7824.0
Greece,VULNERABLE,283.0
Hungary,CRITICAL,196.0
Hungary,ENDANGERED,331.0
Hungary,TOT_KNOWN,4702.0
Hungary,VULNERABLE,263.0
Iceland,CRITICAL,6.0
Iceland,ENDANGERED,11.0
Iceland,TOT_KNOWN,522.0
Iceland,VULNERABLE,16.0
Ireland,CRITICAL,74.0
Ireland,ENDANGERED,149.0
Ireland,TOT_KNOWN,4225.0
Ireland,VULNERABLE,321.0
Italy,CRITICAL,336.0
Italy,ENDANGERED,482.0
Italy,TOT_KNOWN,72526.0
Italy,VULNERABLE,478.0
Japan,CRITICAL,915.0
Japan,ENDANGERED,934.0
Japan,TOT_KNOWN,25351.0
Japan,VULNERABLE,1096.0
Korea,CRITICAL,68.0
Korea,ENDANGERED,180.0
Korea,TOT_KNOWN,37463.0
Korea,VULNERABLE,306.0
Latvia,CRITICAL,36.0
Latvia,ENDANGERED,231.0
Latvia,TOT_KNOWN,20773.0
Latvia,VULNERABLE,160.0
Lithuania,CRITICAL,94.0
Lithuania,ENDANGERED,171.0
Lithuania,TOT_KNOWN,27741.0
Lithuania,VULNERABLE,124.0
Luxembourg,CRITICAL,143.0
Luxembourg,ENDANGERED,142.0
Luxembourg,TOT_KNOWN,1709.0
Luxembourg,VULNERABLE,148.0
Mexico,CRITICAL,61.0
Mexico,ENDANGERED,593.0
Mexico,TOT_KNOWN,32835.0
Mexico,VULNERABLE,924.0
Netherlands,CRITICAL,246.0
Netherlands,ENDANGERED,271.0
Netherlands,TOT_KNOWN,3540.0
Netherlands,VULNERABLE,389.0
New Zealand,CRITICAL,153.0
New Zealand,ENDANGERED,68.0
New Zealand,TOT_KNOWN,39050.0
New Zealand,VULNERABLE,81.0
Norway,CRITICAL,208.0
Norway,ENDANGERED,721.0
Norway,TOT_KNOWN,25378.0
Norway,VULNERABLE,1011.0
Poland,CRITICAL,485.0
Poland,ENDANGERED,793.0
Poland,TOT_KNOWN,40252.0
Poland,VULNERABLE,1014.0
Portugal,CRITICAL,39.0
Portugal,ENDANGERED,51.0
Portugal,TOT_KNOWN,4292.0
Portugal,VULNERABLE,86.0
Slovak Republic,CRITICAL,602.0
Slovak Republic,ENDANGERED,763.0
Slovak Republic,TOT_KNOWN,31264.0
Slovak Republic,VULNERABLE,1562.0
Slovenia,CRITICAL,17.0
Slovenia,ENDANGERED,232.0
Slovenia,TOT_KNOWN,4512.0
Slovenia,VULNERABLE,359.0
Spain,CRITICAL,343.0
Spain,ENDANGERED,360.0
Spain,TOT_KNOWN,14379.0
Spain,VULNERABLE,887.0
Sweden,CRITICAL,66.0
Sweden,ENDANGERED,141.0
Sweden,TOT_KNOWN,2185.0
Sweden,VULNERABLE,177.0
Switzerland,CRITICAL,475.0
Switzerland,ENDANGERED,769.0
Switzerland,TOT_KNOWN,7952.0
Switzerland,VULNERABLE,1339.0
Turkey,TOT_KNOWN,36244.0
United Kingdom,CRITICAL,222.0
United Kingdom,ENDANGERED,352.0
United Kingdom,TOT_KNOWN,45833.0
United Kingdom,VULNERABLE,645.0
